,Site Name,Campaign Name,Contract Number,Title Name,Personnel Name,Contract Date,Close Date,Contract Info,Membership,Points,Club Name,Contract Status,Sales Volume USD,IDP,Closing Cost Charge USD,Closing Cost Paid USD,Applied IDP,IDP Percent,Unlimited Pack,Pack,Funded Interest,Desc TDC,Annuity,Rentsure Inscription,Unlimited Ccost,Finance Charge,Incentive,Comission Volume,IVA,Comission Volume Sin IVA,Mortgage Exchange Rate,SRExchange Rate,Flat Amount,Comision %,Comission Amount,Charger Back,Comisión - Charger Back,Anticipos o Descuentos,Comision Total a Pagar,Comentarios
16,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,VLO,Alonso Palma Juan Francisco,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,7.5,0.0,135.0,,135.0,,135.0,PET. CANC. 22/05/21
17,SR MX  Park Royal Acapulco,Concierge PR Acapulc,9-703901,VLO,Alonso Palma Juan Francisco,2021-02-03,2021-02-03,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1653.3464,0.283334,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.6207,20.17,20.17,10.0,0.0,201.70000000000002,,201.70000000000002,,201.70000000000002,PET. CANC. 22/05/21
18,SR MX  Park Royal Acapulco,,Charger Back,VLO,Alonso Palma Juan Francisco,,,,,,Swiss Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,127.76,-127.76,,-127.76,PET. CANC. 22/05/21
20,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,Closer,Anica Crescencio Carlos Lidoines,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,0.0,3.25,9645.43905,,9645.43905,,9645.43905,
21,SR MX  Park Royal Acapulco,,Charger Back,Closer,Anica Crescencio Carlos Lidoines,,,,,,Swiss Club,Current Owner,11880.14,1782.0,527.02,527.02,4157.9998,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,964.54,-964.54,,-964.54,CHARGER BACK 1 QUIN JUNIO
23,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,Closer,Armenta Rodríguez Zul Yuritzy,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,0.0,1.5,2769.8274,,2769.8274,,2769.8274,
24,SR MX  Park Royal Acapulco,,Charger Back,Closer,Armenta Rodríguez Zul Yuritzy,,,,,,Swiss Club,Current Owner,11880.14,1782.0,527.02,527.02,4157.9998,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,276.98,-276.98,,-276.98,CHARGER BACK 1 QUIN JUNIO
26,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706798,Closer,Arroyo Maldonado Rosalio,2021-05-25,2021-05-25,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.37,0.0,0.0,837.37,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.87,18.0,31.25,0.0,562.5,,562.5,,562.5,
27,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706851,Closer,Arroyo Maldonado Rosalio,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2669.62,1334.81,0.0,0.0,1334.81,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2669.62,1.16,2301.4,19.88,18.0,75.0,0.0,1350.0,,1350.0,,1350.0,
29,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,Liner,Cardenas Mora Adriana,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,0.0,3.0,8903.482199999999,,8903.482199999999,,8903.482199999999,
30,SR MX  Park Royal Acapulco,,Charger Back,Liner,Cardenas Mora Adriana,,,,,,Swiss Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,890.35,-890.35,,-890.35,CHARGER BACK 1 QUIN JUNIO
32,SR MX Park Royal Acapulco,Calle 450,9-706665,Sup. OPC,Cortes Sanchez Maria De Lourdes,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
34,SR MX Park Royal Acapulco,Socios RHC,9-706627,Closer,De La Cruz Salas Rodolfo,2021-05-19,2021-05-19,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,11600.05,1819.33,523.51,523.51,1819.33,0.1568,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1103.95,0.0,8996.05,1.16,7755.22,19.83,18.0,0.0,1.0,1395.9396,,1395.9396,,1395.9396,
35,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706657,Closer,De La Cruz Salas Rodolfo,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,18.0,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 26/05/21
36,SR MX Park Royal Acapulco,Calle 450,9-706665,Closer,De La Cruz Salas Rodolfo,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
37,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,Closer,De La Cruz Salas Rodolfo,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,0.0,3.25,9645.43905,,9645.43905,,9645.43905,
38,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,Closer,De La Cruz Salas Rodolfo,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,0.0,1.5,2769.8274,,2769.8274,,2769.8274,
39,SR MX Park Royal Acapulco,Socios RHC,9-706863,Closer,De La Cruz Salas Rodolfo,2021-05-27,2021-05-27,Upgrade,PLAT,40000.0,Swiss Club,Current Owner,11299.89,1695.0,523.51,523.51,1695.0,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-797.0,0.0,9002.89,1.16,7761.11,19.88,18.0,0.0,1.0,1396.9997999999998,,1396.9997999999998,,1396.9997999999998,
40,SR MX Park Royal Acapulco,Socios RHC,9-706645,Closer,De La Cruz Salas Rodolfo,2021-05-20,2021-05-21,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16700.05,2505.0,623.51,623.51,2505.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1275.95,0.0,13924.05,1.16,12003.49,19.81,19.81,0.0,3.5,8322.6197915,,8322.6197915,,8322.6197915,
41,SR MX  Park Royal Acapulco,Concierge PR Acapulc,9-703901,Closer,De La Cruz Salas Rodolfo,2021-02-03,2021-02-03,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1653.3464,0.283334,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.6207,20.17,20.17,0.0,1.5,3103.745692785,,3103.745692785,,3103.745692785,CDP´S
42,SR MX  Park Royal Acapulco,,Charger Back,Closer,De La Cruz Salas Rodolfo,,,,,,Swiss Club,Current Owner,8799.98,1320.0,520.0,520.0,219.982,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2663.46,-2663.46,,-2663.46,CHARGER BACK 1 QUIN JUNIO
44,SR MX Park Royal Acapulco,Calle 450,9-706542,Liner,Duarte Rodríguez Juan Carlos,2021-05-16,2021-05-16,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,20.05,18.0,50.0,0.0,900.0,,900.0,,900.0,
45,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706864,Liner,Duarte Rodríguez Juan Carlos,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,1196.25,0.0,0.0,1196.25,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,50.0,0.0,900.0,,900.0,,900.0,
46,SR MX  Park Royal Acapulco,,Charger Back,Liner,Duarte Rodríguez Juan Carlos,,,,,,Imagine Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,180.0,-180.0,,-180.0,CHARGER BACK 1 QUIN JUNIO
48,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,OPC,Enriquez Cano Erick De Jesus,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,0.0,3.0,8903.482199999999,,8903.482199999999,,8903.482199999999,
50,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706851,OPC,Estrada Ramirez Mariana Guadalupe,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2669.62,1334.81,0.0,0.0,1334.81,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2669.62,1.16,2301.4,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
52,SR MX Park Royal Acapulco,Socios RHC,9-706609,Liner,Figueroa Diaz Luis Alberto,2021-05-18,2021-05-18,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16633.98,2495.1,523.51,523.51,2495.1,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-1274.0,0.0,13859.98,1.16,11948.26,19.8,18.0,0.0,1.0,2150.6868,,2150.6868,,2150.6868,
53,SR MX Park Royal Acapulco,Socios RHC,9-706645,Liner,Figueroa Diaz Luis Alberto,2021-05-20,2021-05-21,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16700.05,2505.0,623.51,623.51,2505.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1275.95,0.0,13924.05,1.16,12003.49,19.81,19.81,0.0,2.0,4755.782738,,4755.782738,,4755.782738,
54,SR MX Park Royal Acapulco,Socios RHC,9-706830,Liner,Figueroa Diaz Luis Alberto,2021-05-26,2021-05-26,Upgrade,ROYL,70000.0,Swiss Club,Current Owner,8999.77,2250.0,527.02,527.02,2250.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8999.77,1.16,7758.42,19.89,18.0,0.0,1.333,1861.5552948,,1861.5552948,,1861.5552948,
55,SR MX Park Royal Acapulco,Socios RHC,9-706925,Liner,Figueroa Diaz Luis Alberto,2021-05-29,2021-05-31,Upgrade,SLV+,20000.0,Swiss Club,Current Owner,6499.96,1625.0,520.0,520.0,1625.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,-228.0,0.0,6271.96,1.16,5406.86,19.95,19.95,0.0,2.0,2157.3371399999996,,2157.3371399999996,,2157.3371399999996,
56,SR MX  Park Royal Acapulco,,Charger Back,Liner,Figueroa Diaz Luis Alberto,,,,,,Swiss Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1092.54,-1092.54,,-1092.54,CHARGER BACK 1 QUIN JUNIO
58,SR MX Park Royal Acapulco,Gran Acapulco,9-706726,Liner,Galicia Lóngarez Rogelio,2021-05-23,2021-05-23,Original,PLAT,40000.0,Swiss Club,Current Owner,24500.0,3675.0,620.0,620.0,3675.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,24000.0,1.16,20689.66,19.88,19.88,0.0,3.0,12339.313224,,12339.313224,,12339.313224,
59,SR MX Park Royal Acapulco,Socios RHC,9-706863,Liner,Galicia Lóngarez Rogelio,2021-05-27,2021-05-27,Upgrade,PLAT,40000.0,Swiss Club,Current Owner,11299.89,1695.0,523.51,523.51,1695.0,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-797.0,0.0,9002.89,1.16,7761.11,19.88,18.0,0.0,1.0,1396.9997999999998,,1396.9997999999998,,1396.9997999999998,
60,SR MX Park Royal Acapulco,Socios RHC,9-706632,Liner,Galicia Lóngarez Rogelio,2021-05-19,2021-05-28,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,14599.96,2190.0,623.51,623.51,2190.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1204.95,0.0,11894.96,1.16,10254.28,19.83,19.83,0.0,2.0,4066.847448,,4066.847448,,4066.847448,
61,SR MX Park Royal Acapulco,Socios RHC,9-706925,Liner,Galicia Lóngarez Rogelio,2021-05-29,2021-05-31,Upgrade,SLV+,20000.0,Swiss Club,Current Owner,6499.96,1625.0,520.0,520.0,1625.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,-228.0,0.0,6271.96,1.16,5406.86,19.95,19.95,0.0,2.0,2157.3371399999996,,2157.3371399999996,,2157.3371399999996,
62,SR MX  Park Royal Acapulco,,Charger Back,Liner,Galicia Lóngarez Rogelio,,,,,,Swiss Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1996.05,-1996.05,,-1996.05,CHARGER BACK 1 QUIN JUNIO
64,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706731,OPC,Galicia Morales Jose Carlos,2021-05-23,2021-05-23,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
65,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,OPC,Galicia Morales Jose Carlos,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,0.0,0.625,1154.09475,,1154.09475,,1154.09475,
66,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706851,OPC,Galicia Morales Jose Carlos,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2669.62,1334.81,0.0,0.0,1334.81,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2669.62,1.16,2301.4,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
67,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,OPC,Galicia Morales Jose Carlos,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,0.0,0.625,1154.09475,,1154.09475,,1154.09475,
69,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706798,OPC,Gama Garcia Angel,2021-05-25,2021-05-25,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.37,0.0,0.0,837.37,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.87,18.0,10.0,0.0,180.0,,180.0,,180.0,
71,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706674,Closer,Garcia Gutierrez Daniel Eduardo,2021-05-21,2021-05-21,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.88,18.0,62.5,0.0,1125.0,,1125.0,,1125.0,
72,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706731,Closer,Garcia Gutierrez Daniel Eduardo,2021-05-23,2021-05-23,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,41.66,0.0,749.8799999999999,,749.8799999999999,,749.8799999999999,
73,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706864,Closer,Garcia Gutierrez Daniel Eduardo,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,1196.25,0.0,0.0,1196.25,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,50.0,0.0,900.0,,900.0,,900.0,
74,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706961,Closer,Garcia Gutierrez Daniel Eduardo,2021-05-30,2021-05-30,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.95,18.0,62.5,0.0,1125.0,,1125.0,,1125.0,
76,SR MX Park Royal Acapulco,Calle 450,9-706542,OPC,Garcia Navarro Lilia,2021-05-16,2021-05-16,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,20.05,18.0,20.0,0.0,360.0,,360.0,,360.0,
78,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706731,Liner,Gonzalez Flores Jose Juan,2021-05-23,2021-05-23,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,50.0,0.0,900.0,,900.0,,900.0,
79,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,Liner,Gonzalez Flores Jose Juan,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,0.0,1.5,2769.8274,,2769.8274,,2769.8274,
80,SR MX  Park Royal Acapulco,,Charger Back,Liner,Gonzalez Flores Jose Juan,,,,,,Swiss Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,276.98,-276.98,,-276.98,CHARGER BACK 1 QUIN JUNIO
81,SR MX Park Royal Acapulco,,Charger Back,Liner,Gonzalez Flores Jose Juan,,,,,,Imagine Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,90.0,-90.0,,-90.0,CHARGER BACK 1 QUIN JUNIO
83,SR MX Park Royal Acapulco,Calle 450,9-706665,OPC,Gonzalez Villanueva Gilberta,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
85,SR MX Park Royal Acapulco,Socios RHC,9-706609,Closer,Lopez Rodriguez Javier,2021-05-18,2021-05-18,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16633.98,2495.1,523.51,523.51,2495.1,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-1274.0,0.0,13859.98,1.16,11948.26,19.8,18.0,0.0,1.5,3226.0301999999997,,3226.0301999999997,,3226.0301999999997,
86,SR MX Park Royal Acapulco,Socios RHC,9-706627,Closer,Lopez Rodriguez Javier,2021-05-19,2021-05-19,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,11600.05,1819.33,523.51,523.51,1819.33,0.1568,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1103.95,0.0,8996.05,1.16,7755.22,19.83,18.0,0.0,1.0,1395.9396,,1395.9396,,1395.9396,
87,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706657,Closer,Lopez Rodriguez Javier,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,18.0,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 26/05/21
